Gene,Normal_to_Damaged,Normal_to_Poorly_diff,Normal_to_Well_diff,Damaged_to_Poorly_diff,Damaged_to_Well_diff,Poor_to_well_diff
A1BG-AS1,0,1,0,0,0,0
A2M-AS1,0,0,0,0,0,0
AADACL2-AS1,1,1,1,1,1,1
AATBC,0,1,1,1,1,0
AC000068.5,0,0,0,0,0,0
AC000120.7,0,0,0,0,0,0
AC002117.1,1,1,1,0,0,0
AC002310.12,0,0,0,0,0,0
AC002467.7,0,1,1,0,0,0
AC003075.4,0,0,0,0,0,0
AC003090.1,0,0,1,0,0,0
AC003104.1,1,0,0,0,0,0
AC004540.5,0,0,1,0,0,0
AC004951.6,0,0,0,0,0,0
AC005082.12,0,0,0,0,0,0
AC005083.1,0,1,1,0,0,0
AC005152.3,0,0,1,0,0,0
AC005154.6,0,0,1,0,0,0
AC005262.2,1,0,1,0,0,0
AC005262.3,1,0,1,0,0,0
AC005537.2,0,0,0,0,0,0
AC005682.5,0,1,1,0,1,0
AC006129.2,0,0,0,0,0,0
AC006262.4,1,1,1,1,1,1
AC006262.5,0,0,0,0,0,0
AC006262.6,0,0,1,0,0,0
AC006946.16,0,0,1,0,0,0
AC007038.7,1,1,1,0,0,0
AC007182.6,1,1,1,1,1,1
AC007246.3,0,1,1,0,0,0
AC007292.3,0,1,1,0,0,0
AC007319.1,0,1,1,0,1,0
AC007383.3,0,0,0,0,0,0
AC007566.10,1,0,0,0,0,0
AC007743.1,0,1,1,1,1,0
AC007879.7,1,1,1,0,0,0
AC008074.4,1,1,1,1,1,1
AC008592.8,0,1,1,0,1,0
AC008982.2,0,0,0,0,0,0
AC009120.6,0,0,0,0,0,0
AC009133.12,0,1,1,0,1,0
AC009299.3,0,0,0,0,0,0
AC009403.2,0,0,1,0,0,0
AC009404.2,0,0,0,0,0,0
AC009501.4,0,1,1,0,1,0
AC009506.1,0,0,0,0,0,0
AC009948.5,0,1,1,1,0,0
AC009961.3,0,0,0,0,0,0
AC010642.1,0,0,0,0,0,0
AC011288.2,0,0,0,0,0,0
AC011738.4,0,1,1,0,0,0
AC012146.7,0,0,0,0,0,0
AC012358.8,0,0,0,0,0,0
AC012363.4,1,0,1,0,0,0
AC012531.25,0,0,0,0,0,0
AC016735.2,0,1,1,0,1,0
AC016747.3,1,1,1,0,0,0
AC018816.3,0,0,0,0,0,0
AC018890.6,0,0,0,0,0,0
AC020571.3,0,0,0,0,0,0
AC025171.1,0,0,0,0,0,0
AC034220.3,0,0,0,0,0,0
AC046143.3,0,1,1,0,0,0
AC062029.1,0,1,0,0,0,0
AC068282.3,0,0,0,0,0,0
AC072062.1,0,0,1,0,0,0
AC073046.25,0,0,0,0,0,0
AC074117.10,0,1,1,0,0,0
AC074286.1,0,1,1,0,0,0
AC074289.1,0,0,0,0,0,0
AC083843.1,1,0,1,0,0,0
AC084082.3,0,0,0,0,0,0
AC087294.2,0,0,0,0,0,0
AC090587.4,0,0,0,0,0,0
AC090616.2,0,0,1,0,1,0
AC091133.1,0,0,0,0,0,0
AC091729.9,1,1,1,0,0,0
AC092168.2,0,0,0,0,0,0
AC092535.3,0,0,1,0,0,0
AC092580.4,0,0,0,0,0,0
AC093375.1,0,0,1,0,0,0
AC093609.1,0,1,1,1,1,0
AC093627.10,0,0,0,0,0,0
AC093642.3,0,0,1,0,0,0
AC093673.5,0,1,1,0,1,0
AC093818.1,0,1,1,0,0,0
AC096579.15,0,0,0,0,0,0
AC097721.2,0,0,0,0,0,0
AC105760.2,0,0,0,0,0,0
AC108142.1,0,1,1,0,1,0
AC108488.4,0,0,0,0,0,0
AC108676.1,0,0,0,0,0,0
AC109642.1,0,0,1,0,0,0
AC113189.5,0,0,0,0,0,0
AC115522.3,0,0,0,0,0,0
AC127904.2,0,0,0,0,0,0
AC133785.1,1,1,1,0,0,0
AC141928.1,0,0,0,0,1,0
AC144652.1,0,0,1,0,1,0
AC144831.1,0,1,0,0,0,0
AC159540.1,0,0,0,0,0,0
ACTA2-AS1,0,0,0,0,0,0
ADAMTS9-AS2,1,1,1,1,0,0
ADAMTSL4-AS1,0,0,0,0,0,0
ADIRF-AS1,0,0,0,0,0,0
ADORA2A-AS1,0,0,1,0,1,0
AF001548.5,0,0,0,0,0,0
AF064858.8,0,0,0,0,0,0
AF127936.9,0,1,1,1,1,0
AF131215.2,0,0,0,0,0,0
AF131215.3,0,0,0,0,0,0
AF131215.4,0,0,0,0,0,0
AF131215.9,0,0,0,0,0,0
AF131217.1,0,0,0,0,0,0
AFAP1-AS1,0,0,1,0,0,0
AGAP2-AS1,0,1,1,0,0,0
AL163953.3,0,0,0,0,0,0
AL450992.2,0,0,0,0,0,0
ALMS1-IT1,0,0,0,0,0,0
ALOX12-AS1,0,0,0,0,0,0
ANKRD10-IT1,0,0,0,0,0,0
ANKRD44-IT1,0,0,0,0,0,0
AP000350.5,0,0,0,0,0,0
AP000662.4,0,0,0,0,0,0
AP000695.4,0,1,1,0,0,0
AP000695.6,0,1,1,0,0,0
AP001062.7,0,0,0,0,0,0
AP001258.4,0,0,0,0,0,0
AP001372.2,0,0,0,0,0,0
AP001429.1,1,0,1,0,0,0
AP001626.1,0,0,0,0,0,0
AP002954.3,0,0,0,0,0,0
AP003068.23,1,1,1,0,0,0
AP006621.5,0,0,1,0,1,0
APCDD1L-AS1,0,0,0,0,0,0
