Symbol,MvN,PTvN,PTvAK,AKvN,MvAK
TSPAN6,0,0,0,0,0
DPM1,0,0,0,0,0
SCYL3,0,0,0,0,0
C1orf112,0,0,0,0,0
FGR,0,0,0,0,0
CFH,0,0,0,0,0
FUCA2,0,0,0,0,0
GCLC,0,0,0,0,0
NFYA,0,0,0,0,0
STPG1,0,0,0,0,0
NIPAL3,0,0,0,0,0
LAS1L,0,0,0,0,0
ENPP4,1,0,0,0,0
SEMA3F,0,0,0,0,0
CFTR,0,1,1,0,0
ANKIB1,0,0,0,0,0
CYP51A1,0,0,0,0,0
KRIT1,0,0,0,0,0
RAD52,0,0,0,0,0
MYH16,1,0,0,0,1
BAD,0,0,0,0,0
LAP3,0,0,0,0,0
CD99,0,0,0,0,0
HS3ST1,1,1,0,0,0
AOC1,0,0,0,0,0
WNT16,1,1,1,0,0
HECW1,0,0,0,0,0
MAD1L1,0,0,0,0,0
LASP1,0,0,0,0,0
SNX11,0,0,0,0,0
TMEM176A,0,0,0,0,0
M6PR,0,0,0,0,0
KLHL13,0,0,0,0,0
CYP26B1,0,0,0,0,0
ICA1,0,0,0,0,0
DBNDD1,0,0,0,0,0
ALS2,0,0,0,0,0
CASP10,0,0,0,0,0
CFLAR,0,0,0,0,0
TFPI,0,0,0,0,0
NDUFAF7,0,0,0,0,0
RBM5,0,0,0,0,0
MTMR7,0,1,0,0,0
SLC7A2,1,1,1,0,0
ARF5,0,0,0,0,0
SARM1,0,0,0,0,0
POLDIP2,0,0,0,0,0
PLXND1,0,0,0,0,0
AK2,0,0,0,0,0
CD38,0,1,0,0,0
FKBP4,0,0,0,0,0
KDM1A,0,0,0,0,0
RBM6,0,0,0,0,0
CAMKK1,0,0,0,0,0
RECQL,0,0,0,0,0
VPS50,0,0,0,0,0
HSPB6,0,1,0,1,0
ARHGAP33,0,0,0,0,0
NDUFAB1,0,0,0,0,0
PDK4,0,1,0,1,0
ABCB5,0,0,0,0,0
SLC25A13,0,0,0,0,0
ST7,0,0,0,0,0
CDC27,0,0,0,0,0
HCCS,0,0,0,0,0
DVL2,0,0,0,0,0
PRSS22,0,0,0,0,0
UPF1,0,0,0,0,0
SKAP2,0,0,0,0,0
SLC25A5,0,0,0,0,0
MCUB,0,0,0,0,0
HOXA11,0,0,0,0,0
POLR2J,0,0,0,0,0
DHX33,0,0,0,0,0
MEOX1,1,0,0,0,0
THSD7A,0,0,0,0,0
LIG3,0,0,0,0,0
RPAP3,0,0,0,0,0
ACSM3,0,1,1,0,0
AC004381.6,0,0,0,0,0
CIAPIN1,0,0,0,0,0
SPPL2B,0,0,0,0,0
FAM214B,0,0,0,0,0
COPZ2,0,0,0,0,0
PRKAR2B,0,0,0,0,0
MSL3,0,0,0,0,0
CREBBP,0,0,0,0,0
TSPOAP1,0,0,0,0,0
GCFC2,0,0,0,0,0
WDR54,1,0,0,0,0
CROT,0,0,0,0,0
ABCB4,0,0,0,0,0
KMT2E,0,0,0,0,0
RHBDD2,0,0,0,0,0
SOX8,0,1,0,0,0
IBTK,0,0,0,0,0
ZNF195,0,0,0,0,0
MYCBP2,1,0,0,0,0
FBXL3,0,0,0,0,0
ITGAL,0,0,0,0,0
PDK2,0,0,0,0,0
ITGA3,1,0,0,0,1
ZFX,0,0,0,0,0
LAMP2,0,0,0,0,0
ITGA2B,0,0,0,0,0
GDE1,0,0,0,0,0
C19orf60,0,0,0,0,0
CRLF1,0,0,0,0,0
OSBPL7,1,0,0,0,1
TMEM98,0,0,0,0,0
YBX2,0,1,0,0,0
KRT33A,0,0,0,0,0
MAP3K14,0,0,0,0,0
TMEM132A,1,1,0,0,1
AP2B1,0,0,0,0,0
ZNF263,0,0,0,0,0
CX3CL1,0,0,0,0,0
SPATA20,0,0,0,0,0
CACNA1G,0,0,0,0,0
TNFRSF12A,1,1,0,0,1
DLX6,0,1,1,0,0
MAP3K9,0,0,0,0,1
RALA,0,0,0,0,0
BAIAP2L1,0,0,0,0,0
KDM7A,0,0,0,0,0
ETV1,0,0,0,0,0
AGK,0,0,0,0,0
ALDH3B1,0,0,0,0,0
TTC22,0,0,0,0,0
PHTF2,0,0,0,0,0
FARP2,0,0,0,0,0
GGCT,0,0,0,0,0
DBF4,0,0,0,0,0
TBXA2R,0,0,0,0,0
IFRD1,0,0,0,0,0
COX10,0,0,0,0,0
GTF2IRD1,0,0,0,0,0
PAF1,0,0,0,0,0
VPS41,0,0,0,0,0
ARHGAP44,0,0,0,0,0
ELAC2,0,0,0,0,0
SCIN,1,1,0,0,0
ARSD,0,0,0,0,0
PNPLA4,0,0,0,0,0
ADIPOR2,0,0,0,0,0
PRSS21,0,0,0,0,0
MARK4,0,0,0,0,0
PROM1,0,1,0,0,0
CCDC124,0,0,0,0,0
CEACAM21,0,0,0,0,0
PAFAH1B1,0,0,0,0,0
NOS2,0,0,0,0,0
DNAH9,0,0,0,0,0
KIAA0100,0,0,0,0,0
SLC13A2,0,1,1,0,0
GAS7,1,1,0,0,1
TRAPPC6A,0,0,0,0,0
MATK,1,0,0,0,1
CEACAM7,0,0,0,0,0
CD79B,0,0,0,0,0
ST7L,0,0,0,0,0
TKTL1,0,0,0,0,0
PAX6,0,0,0,0,0
RPUSD1,0,0,0,0,0
RHBDF1,0,0,0,0,0
LUC7L,0,0,0,0,0
CACNA2D2,0,1,1,0,0
BAIAP3,0,0,0,0,0
TSR3,0,0,0,0,0
PIGQ,0,0,0,0,0
CRAMP1,0,0,0,0,0
TEAD3,0,0,0,0,0
